shape,regime,method,lam_mean,width_mean_matched,sd_cov_mean_matched,share_below_mean_matched,lam_pac,width_pac_matched
trunc_exp,hetero,CP_k102,0.6642521416239124,2.96043289322703,0.015751303755562586,0.496,0.7922464020537485,3.5308765470395755
trunc_exp,hetero,FH_PAC,0.7394161333853487,2.977908590079516,0.023055828113516114,0.458,0.9539537813475047,3.841932886975685
trunc_exp,hetero,FH_boot,0.8851427607688104,3.0082079638895367,0.02867388079768764,0.4455,1.1996967251258348,4.07723748386205
trunc_exp,hetero,FH_normal,0.884745591466649,2.98810197766549,0.025212147072393495,0.456,1.1572617306621185,3.908486348415352
trunc_exp,hetero,LDC_PAC,0.6228803973899398,2.9964360565085966,0.024650948866118724,0.456,0.778773281203601,3.746376269701609
trunc_exp,hetero,LDC_k102,0.7409331949177762,3.008526422253534,0.027774890998886026,0.4435,0.9334078771013725,3.790061344613791
trunc_exp,hetero,noisy_CP,0.714194058305659,2.958400172909081,0.015194731323718758,0.499,0.8449239958587209,3.4999217178780966
trunc_laplace,common,CP_PAC,0.7108220716391692,3.5364307398616366,0.02776454501698164,0.4745,0.819783147862225,4.078526033153579
trunc_laplace,common,CP_k102,0.7883743389754866,3.5339220542473706,0.02650169617213208,0.479,0.9038252650296582,4.0514358209895995
trunc_laplace,common,FH_PAC,0.8611358464443996,3.5497076684342597,0.027263564513834212,0.4785,0.9974445914507938,4.11158904803502
trunc_laplace,common,FH_boot,1.0390535230134768,3.57579715158145,0.03460693832167185,0.4715,1.2522423514207848,4.309464848657293
trunc_laplace,common,FH_normal,1.0422304107022715,3.5582243058587517,0.0319034977706207,0.462,1.2423459647117234,4.241428346870209
trunc_laplace,common,LDC_PAC,0.7598876125883502,3.5486559788904177,0.034037423815559256,0.462,0.9078744933367024,4.239750978289325
trunc_laplace,common,LDC_k102,0.8661806675542887,3.5508965643264006,0.03540104193381884,0.4575,1.045309711997217,4.285233790161101
trunc_laplace,common,noisy_CP,0.8361885478258572,3.5337299244522122,0.026421564298882837,0.475,0.9561404622657785,4.040646301929266
trunc_laplace,hetero,CP_PAC,0.709903171929508,3.5401097685979,0.029211808742356234,0.4725,0.8255036501231015,4.116580473744102
trunc_laplace,hetero,CP_k102,0.78811893096686,3.5368266330729363,0.027511926686439106,0.4875,0.909305779577877,4.080674594217325
trunc_laplace,hetero,FH_PAC,0.8839416472043905,3.552981118527753,0.028362053874851873,0.476,1.0263566347842439,4.125414563050798
trunc_laplace,hetero,FH_boot,1.0518506271658326,3.576488064244302,0.03439082886468426,0.471,1.2532300216343155,4.261215517078463
trunc_laplace,hetero,FH_normal,1.0552697874644872,3.5584365806565246,0.031371034091977265,0.4685,1.2418430990680158,4.187573607861114
trunc_laplace,hetero,LDC_PAC,0.7590214556976557,3.553435265546095,0.03574019627814039,0.462,0.9170435834897855,4.29323174615686
trunc_laplace,hetero,LDC_k102,0.866010443912645,3.554495523155881,0.03632491927038518,0.4645,1.0489682759634014,4.305436576490703
trunc_laplace,hetero,noisy_CP,0.8369188911716854,3.536315466455434,0.027227777544265343,0.471,0.9635569407339456,4.071411636505803
